name,gender,age,standard,caste,dropoutStatus,dropoutReason,dropoutPrediction,dropoutFeedback
Danie Ferreo,Male,60,5,General,false,depression,1,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
Betta Foden,Female,94,6,ST,true,etc.) Financial constraints Family issues (e.g.,6,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
Perceval Romke,Male,59,6,ST,false,etc.) Financial constraints Family issues (e.g.,5,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla
Jaime Blackston,Male,67,11,General,true,etc.) Financial constraints Family issues (e.g.,6,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
Flem Hinckley,Non-binary,89,9,General,true,poor teaching quality,6,orci eget orci vehicula condimentum curabitur in libero ut massa
Sherman Hanster,Male,9,7,ST,false,parental divorce,8,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis
Averil Gowan,Male,65,10,ST,false,depression,6,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui
Tadeo Lemm,Male,28,10,General,false,depression,4,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio
Engelbert Penrith,Male,48,3,General,true,parental divorce,10,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque
Dasie Cockin,Female,18,2,General,true,race,5,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
Angel Ivons,Female,52,12,General,true,parental divorce,10,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
Farica Bartolomeu,Bigender,42,6,ST,true,stationery,7,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue
Vonnie Lillywhite,Female,24,1,OBC,true,poor facilities,5,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
Zorana Digance,Female,55,9,ST,false,parental divorce,9,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
Romonda Toffanini,Female,117,11,SC,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,1,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper
Katha Tressler,Female,92,3,OBC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,6,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat
Layton Tuckerman,Male,100,10,SC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,3,curae nulla dapibus dolor vel est donec odio justo sollicitudin
Sheba Dawidowitsch,Female,32,0,SC,true,race,8,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit
Willetta Caughtry,Bigender,55,10,General,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,0,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet
Eduard Sorrill,Male,15,2,OBC,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,0,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis
Urson Calveley,Male,21,11,General,true,etc.) Financial constraints Family issues (e.g.,2,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
Dannel Oguz,Male,14,1,ST,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,1,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
Blanch Di Gregorio,Female,114,9,SC,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,6,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
Rowen Armall,Male,73,10,ST,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,7,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet
Addie Stammers,Male,97,2,OBC,true,depression,2,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id
Nicola Howkins,Genderqueer,7,2,SC,false,poor teaching quality,6,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien
Wheeler Smaile,Male,53,4,SC,true,etc.) Financial constraints Family issues (e.g.,9,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus
Jammal Wildgoose,Male,27,8,OBC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,1,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est
Meredeth Keneleyside,Male,117,10,ST,true,parental divorce,5,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate
Minette Flippelli,Female,29,11,OBC,false,Lack of resources (books,3,luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
Jerald Hardiker,Genderfluid,88,6,SC,true,etc.) Financial constraints Family issues (e.g.,3,sit amet lobortis sapien sapien non mi integer ac neque duis
Pepe Brankley,Male,48,11,General,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,7,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo
Bertie Devenny,Agender,80,3,SC,false,race,8,pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea
Katalin Shermar,Female,89,2,ST,true,etc.) Financial constraints Family issues (e.g.,5,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at
Aldous Woolard,Male,95,10,General,false,Lack of resources (books,5,elementum ligula vehicula consequat morbi a ipsum integer a nibh in
Otis Abrahamowitcz,Male,11,12,ST,true,poor teaching quality,4,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
Celine Iorizzo,Female,52,3,SC,true,stationery,4,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
Benetta Gurge,Female,113,2,OBC,false,etc.) Financial constraints Family issues (e.g.,9,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu
Stafford Locarno,Male,51,4,SC,true,depression,0,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros
Ase Butchart,Male,39,6,SC,true,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,10,massa id lobortis convallis tortor risus dapibus augue vel accumsan
Rolph Lamlin,Male,10,4,SC,false,stationery,0,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
Madelin Weale,Female,54,2,General,true,etc.) Financial constraints Family issues (e.g.,7,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus
Cassie Ryde,Male,85,10,General,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,10,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam
Weider Pinner,Male,90,12,ST,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,1,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
Neddie Fozard,Male,19,1,OBC,false,race,6,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
Marin Mariaud,Female,19,4,SC,false,poor teaching quality,8,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum
Bendicty Aslet,Genderqueer,104,11,ST,true,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,9,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
Vivi Davidescu,Agender,91,10,General,false,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,0,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices
Farra Luthwood,Female,94,2,SC,false,stationery,2,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam
Cherey Chittim,Female,69,9,ST,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,1,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero
Kelsey Schonfeld,Female,90,10,ST,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,5,in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin
Avictor Marjanski,Male,77,1,OBC,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,3,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor
Elnar Casserly,Male,112,4,General,true,Lack of resources (books,0,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus
Kalinda Giacoppo,Female,6,2,General,true,depression,7,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
Sari Roels,Female,1,5,OBC,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,6,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla
Percy MacElholm,Male,85,10,General,true,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,8,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius
Jennie Cotillard,Non-binary,41,5,General,false,poor teaching quality,4,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
Rafi Gudgion,Male,75,7,OBC,true,depression,3,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
Trenton Vasyaev,Male,27,3,SC,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,10,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
Alika Cardenas,Female,22,3,ST,false,stationery,6,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
Corbett Wards,Male,77,1,General,true,stationery,7,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
Ari Thundercliffe,Male,4,11,General,false,etc.) Financial constraints Family issues (e.g.,2,proin eu mi nulla ac enim in tempor turpis nec
Tan Cordelette,Bigender,79,0,OBC,false,etc.) Financial constraints Family issues (e.g.,10,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
Annabel Cornock,Female,91,5,ST,false,race,10,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
Sidnee Deerr,Male,96,9,OBC,true,depression,5,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis
Armstrong Andrieu,Male,26,5,OBC,false,parental divorce,0,justo in blandit ultrices enim lorem ipsum dolor sit amet
Sonnie Mapson,Male,116,7,ST,true,stationery,6,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam
Hans Monkley,Male,66,1,ST,false,poor facilities,2,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
Hadleigh Legonidec,Male,36,6,SC,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,3,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum
Alikee Gurry,Female,85,0,SC,true,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,0,ligula nec sem duis aliquam convallis nunc proin at turpis a
Doralia Ianetti,Female,22,2,ST,true,race,7,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce
Giana Ingrey,Female,5,2,ST,true,poor teaching quality,4,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat
Hannis Dungate,Genderfluid,61,3,SC,false,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,7,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec
Darb Beardsworth,Male,33,9,General,false,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,2,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero
Waverly Holsall,Male,34,1,OBC,false,parental divorce,3,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat
Hadley Baythorp,Male,48,0,OBC,false,poor teaching quality,6,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam
Costanza Khosa,Female,89,8,General,true,poor facilities,6,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
Bria Jerdein,Female,41,4,General,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,0,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet
Vladamir Whodcoat,Male,119,4,SC,true,stationery,6,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam
Shepperd Prangley,Male,83,2,ST,true,stationery,0,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
Romonda Hexam,Genderqueer,35,11,OBC,false,Lack of resources (books,7,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus
Reinaldo Coveley,Male,68,7,SC,false,race,7,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt
Harwell Harrap,Male,33,1,ST,false,parental divorce,4,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia
Ermengarde Jedrzejczak,Female,102,3,ST,false,poor teaching quality,0,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
Garald Starr,Male,74,11,General,true,Lack of resources (books,8,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum
Magda Le Blanc,Female,45,8,OBC,false,parental divorce,0,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia
William Crownshaw,Male,17,12,ST,false,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,2,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque
Jackquelin Howatt,Female,93,0,ST,true,race,0,orci mauris lacinia sapien quis libero nullam sit amet turpis
Melodee Wingeat,Female,70,7,OBC,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,0,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi
Bobby Symons,Male,44,10,SC,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,8,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
Jacob Donkersley,Male,98,5,OBC,true,overcrowded classrooms) Unsupportive or dysfunctional family environment Peer pressure or influence from friends Substance abuse or addiction issues Early marriage or teenage pregnancy Lack of motivation or interest in studies School-related factors (e.g.,1,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
Vi Fransseni,Female,26,2,General,false,Lack of resources (books,1,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit
Gwennie Droogan,Female,72,7,ST,false,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,7,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer
Darby Cheyenne,Male,23,1,OBC,false,race,8,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes
Marley Glyde,Agender,44,0,ST,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,3,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum
Jonathon Tompkins,Male,31,1,General,true,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,1,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis
Herta Slograve,Female,76,6,General,false,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,3,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
Janene Brooking,Polygender,50,8,OBC,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,3,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem
Allie Mustard,Male,34,12,SC,false,parental divorce,7,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
Barclay Thunders,Male,119,5,OBC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,1,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer
Amye Leehane,Female,104,1,ST,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,4,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi
Allix Lebrun,Female,28,12,OBC,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,0,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut
Emmye Latty,Female,102,8,OBC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,3,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis
Cortney Rydeard,Female,117,1,General,true,poor facilities,4,congue eget semper rutrum nulla nunc purus phasellus in felis
Krystalle Loidl,Female,17,0,OBC,false,family relocation) Health problems (both physical and mental) Bullying or harassment at school Learning difficulties or disabilities Inadequate school infrastructure (e.g.,6,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla
Piper Bithell,Female,51,10,SC,true,parental divorce,8,vel nisl duis ac nibh fusce lacus purus aliquet at
West Perell,Male,101,1,General,false,depression,8,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus
Gayle Baybutt,Female,120,5,SC,true,parental divorce,0,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis
Abe Chismon,Male,78,1,OBC,true,poor facilities,0,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed
Seth Grigorushkin,Male,103,1,OBC,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,7,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
Colan McKennan,Male,17,5,General,true,Lack of resources (books,0,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
Vaclav Dorrian,Male,27,3,OBC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,9,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
Davidde Wragg,Male,3,2,General,false,depression,3,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui
Abigale Smoughton,Female,15,1,OBC,true,depression,4,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam
Rosalind Eborall,Female,50,2,SC,true,depression,1,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl
Jayne McNellis,Non-binary,63,11,SC,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,9,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
Bibi Stellin,Female,65,2,OBC,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,5,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus
Bren McCart,Polygender,97,1,General,false,race,10,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
Evonne Whitemarsh,Female,47,6,SC,false,stationery,8,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper
Lula Reed,Female,10,5,SC,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,0,magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
Salli Jelley,Female,20,12,ST,true,poor facilities,2,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing
Alaine Lomaz,Female,46,8,ST,true,depression,7,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at
Lavinie Iwanowski,Female,35,6,General,false,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,4,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero
Tiler Willgoose,Male,27,12,OBC,true,or ethnicity Cultural or religious factors Mental health disorders (e.g.,3,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi
Kalindi Alberti,Female,17,4,OBC,false,depression,3,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
Jennie Broader,Female,60,3,OBC,true,etc.) Financial constraints Family issues (e.g.,1,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan
Aurthur Daubney,Male,79,11,SC,false,race,10,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien
Ariel Rampton,Male,61,4,General,false,parental divorce,6,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere
Gordan Cleeve,Male,51,0,OBC,true,depression,9,odio cras mi pede malesuada in imperdiet et commodo vulputate justo
Raquel MacRanald,Female,94,0,SC,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,7,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget
Cris Ceillier,Male,97,7,OBC,false,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,5,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
Clarke Goricke,Genderfluid,16,4,SC,true,poor facilities,4,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id
Rainer Harmour,Male,88,3,ST,false,race,9,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non
Harli Endrici,Female,89,9,General,false,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,9,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque
Ina Winchester,Female,106,3,General,true,Lack of resources (books,5,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam
Geneva Gammett,Female,82,10,OBC,true,Lack of resources (books,10,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
Wood Glennon,Male,51,12,General,false,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,6,in faucibus orci luctus et ultrices posuere cubilia curae mauris
Bryce Champkins,Male,101,9,SC,false,Lack of resources (books,0,pede justo eu massa donec dapibus duis at velit eu est congue
Angelia Kildahl,Female,52,6,SC,false,race,4,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper
Ernesta Keggins,Female,64,10,SC,true,poor teaching quality,9,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc
Boote Bercher,Male,41,5,ST,true,depression,2,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus
Laurent Nannini,Male,93,2,General,false,poor facilities,2,nec nisi volutpat eleifend donec ut dolor morbi vel lectus
Pryce Lippatt,Male,109,2,SC,false,parental divorce,0,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque
Darwin Braybrooks,Male,106,9,ST,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,3,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla
Harmon Todd,Male,103,11,SC,true,Lack of resources (books,1,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
Trista Pynn,Female,74,2,General,true,poor facilities,9,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum
Udale Muffett,Male,28,2,General,true,etc.) Financial constraints Family issues (e.g.,8,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante
Giovanni Pleven,Male,73,5,OBC,false,or ethnicity Cultural or religious factors Mental health disorders (e.g.,7,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec
Rickie Pettendrich,Female,0,10,General,true,race,7,sapien sapien non mi integer ac neque duis bibendum morbi
Sherwood McCory,Male,81,6,ST,true,anxiety) Lack of access to technology or internet connectivity Lack of parental involvement or support in education Poverty or socioeconomic status Absence of role models or mentors Lack of awareness about the importance of education,7,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
Gisela Vass,Female,10,5,ST,true,etc.) Financial constraints Family issues (e.g.,5,at velit eu est congue elementum in hac habitasse platea
Lethia Wike,Female,16,1,ST,true,boring curriculum) Distance from school or transportation issues Work or employment opportunities Involvement in criminal activities or gangs Language barriers or communication problems Discrimination based on gender,9,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
